CustomerID,EducationLevel,MaritalStatus,AccountType,LoanAmount,InterestRate,CreditLimit,credit_cards_risk_type
a9720291-5bbb-4190-b56f-a0b902711679,Bachelor,Married,Credit Card,43327,1.87,2108,Medium
a7b693cf-8165-4477-b60c-f1f47338a08f,PhD,Divorced,Loan,36818,1.94,3125,High
7078a2a8-11f3-45e0-b446-ed9510b6ec97,PhD,Divorced,Credit Card,24031,7.5,6911,High
0ab6fbc2-e0e1-4f74-a201-e8bd09920249,High School,Divorced,Loan,18548,2.21,7421,High
b841f5de-ae2b-400f-88c8-d4ba48d49c33,High School,Divorced,Savings,48109,7.38,9352,High
8c37eaed-7c3f-4c0c-a707-68bf70e82dfa,PhD,Widowed,Loan,21813,4.23,2029,High
993e075c-cab3-48b9-9465-c05fa5b01f73,Master,Divorced,Loan,10595,8.59,3516,High
6a20e696-a984-4355-a29f-e788a6218b61,High School,Widowed,Checking,17619,5.07,8409,Medium
5c3b0e7d-35cd-4dc0-a9c5-8ffec1d047d1,PhD,Married,Credit Card,27098,1.74,1965,Medium
df44f202-d476-4bb0-9889-968a5e6f9b4f,Bachelor,Widowed,Credit Card,15103,5.02,2085,High
9c8a27e6-0c10-4f1a-935e-f78e615c6184,Master,Divorced,Savings,40871,5.31,9251,Medium
f826e4ef-d1b1-4a53-863a-b8cd9c4e8bea,PhD,Widowed,Credit Card,38023,2.39,6077,High
5c5f5522-0877-4901-a3a3-e0a1396151b8,PhD,Widowed,Credit Card,27723,6.0,9574,High
a313dd9a-aba3-4cfb-a80b-5170f52e7e06,Bachelor,Divorced,Loan,23174,3.62,6662,High
3dc10335-72e0-4c5b-95cc-3645db5fa806,Bachelor,Single,Savings,23970,5.98,7083,High
5af5310e-2a05-4a2b-8fdd-b1c426e78a14,PhD,Widowed,Credit Card,10544,4.04,9344,High
94bce364-0a1f-46a2-8324-e394339ed0d7,Master,Widowed,Loan,9443,3.53,7992,High
b90690fc-5bb3-4c59-902f-04b1dfe24618,High School,Single,Checking,47557,6.74,3680,High
07816e85-63f2-4b5b-9610-9c677e375769,Bachelor,Widowed,Credit Card,36478,4.59,9181,High
cb93a814-f876-49f1-961d-7d8ae4b03baa,Bachelor,Married,Checking,23709,1.66,8402,Medium
fc77178e-3e5e-42fb-91eb-7684f0ab47b7,High School,Single,Checking,42621,7.97,2647,High
e27e0d59-a2dd-4cf6-aa5b-9cbf555ea4db,Master,Divorced,Savings,5865,7.66,8647,Low
c726b039-9c86-4761-a774-6ff0c78bdc8a,High School,Widowed,Loan,38524,2.61,2752,High
fe7f354d-e8c0-45bb-bb20-50e20ab02ad7,Master,Married,Checking,10710,9.38,2744,Low
575e87ec-50ce-4a9c-a8f9-90084ee3542f,PhD,Married,Credit Card,20292,6.49,1895,Medium
899fb784-2ead-4517-8113-b7459710d2fb,PhD,Single,Loan,12785,6.92,3665,Medium
38361997-f4fa-4c4e-ae12-0793399c1c2c,PhD,Widowed,Loan,47040,4.36,8444,High
340e23aa-a511-40c4-a51f-e5c9fa65a939,PhD,Single,Savings,30336,5.09,3544,Medium
a65b24cb-68b2-4313-b076-b078057dec6d,Master,Widowed,Checking,31320,8.9,1689,Medium
f7677f04-ca03-4ed6-b85f-ba1a873865ef,Master,Single,Loan,46279,6.48,8123,High
dfb0ed64-9547-4c45-b51d-3ccade7d8bf0,High School,Single,Credit Card,12203,2.86,2027,High
0b00f070-9d62-4e60-b870-3f04abedadc6,Bachelor,Married,Savings,21362,4.64,8049,Medium
25a16ed9-5bd7-44a0-b018-63dfc0724b4c,Bachelor,Divorced,Savings,20105,4.99,7110,High
7b0c8f6a-3054-4cc4-9dbc-c2e1b6667e11,Master,Single,Savings,20187,7.23,3804,Medium
84347a11-74c6-44d7-b656-9752aff4476f,Bachelor,Married,Checking,6705,9.38,4938,Low
6b504e36-f450-4d94-b98b-e11b2fdd9c95,High School,Single,Savings,39252,5.62,5755,High
549b827c-d143-48f0-aa44-ae7616708a40,Bachelor,Divorced,Savings,21388,2.9,4827,Medium
4c3ca879-269b-43f0-a10c-07221d5bd2fd,Bachelor,Divorced,Credit Card,9666,3.38,6534,High
bf16b93f-f288-4d45-9892-ae9080209a4f,Bachelor,Widowed,Savings,22903,8.81,8983,High
f06c1dc2-aa0d-4f55-ae71-57d2a9337e42,PhD,Widowed,Savings,25498,3.7,7746,Medium
72d0816e-f387-44a9-a7b4-2acdabaac2cd,PhD,Married,Savings,35586,1.93,7828,Low
b3a13bec-ef2f-4f15-a332-5710a0bfb9a9,Master,Married,Credit Card,20277,4.78,7565,High
78650dfd-3055-4f54-8043-f79ac4d34e0a,Bachelor,Divorced,Savings,40924,5.31,4066,Medium
b2864071-5f53-4ee7-80e3-c6004e1c2f05,Bachelor,Married,Credit Card,36049,5.37,6061,High
7469e4ee-a4ce-4329-98a4-b6302537392e,High School,Married,Savings,11255,8.25,1074,Low
b4f2cb9f-a866-4d46-b280-44af01e8f924,High School,Single,Savings,7943,5.76,4406,Medium
30340ba2-ac1c-4cbe-b5c6-ab8aee295f4f,PhD,Single,Loan,48085,7.45,8509,High
