CustomerID,Age,Gender,Occupation,EducationLevel,MaritalStatus
abc7b464-6e65-4303-9e51-eeaf4f3d1ca2,46,Other,"Production designer, theatre/television/film",Master,Single
41f7f53a-b53f-4213-906c-98e24ec65c6c,37,Male,Radio producer,High School,Widowed
2b5b7cb1-a585-4209-be23-c5668138fc4f,45,Male,Actuary,Master,Single
2976adb1-6635-4a94-b1fb-2fa28e4a2cb8,57,Male,Agricultural consultant,PhD,Married
2ae76e9b-d5a4-463e-aabf-0ab71a8c0b38,59,Female,Tax inspector,Master,Single
41ff70df-c9da-4a87-859f-6ccc45f53495,28,Other,Sports development officer,Bachelor,Divorced
eb069e20-5a75-4389-9f03-1eb676496712,34,Female,Gaffer,Bachelor,Married
4636c957-5239-4342-b207-2ea073f2c265,30,Other,Animator,Bachelor,Single
2dc51142-1dd6-4c6d-841e-6d5233a400dd,42,Other,Leisure centre manager,High School,Widowed
ddaef9b4-20b3-4aa1-a97a-c6c756643e55,49,Female,Event organiser,PhD,Single
060cef5a-c0d0-4645-a30a-5f3ed9569ae0,45,Other,Public relations officer,Master,Married
bf074ced-191f-4ebd-971e-ed3dda1f2984,27,Male,Primary school teacher,Master,Divorced
7009ace0-271a-411e-90ba-71666d76f359,60,Female,Psychotherapist,Master,Divorced
070169f7-6a75-42f6-a95f-43afde49afdd,52,Male,"Restaurant manager, fast food",Master,Married
588ed1b7-1736-4df5-be21-47d196971d24,68,Other,"Engineer, aeronautical",Bachelor,Single
4f48d4d0-0355-40dd-a67a-b8b6a31e98cb,38,Female,"Psychologist, counselling",PhD,Single
d7db5e4f-19cd-4066-9963-cef1fad071c4,50,Female,Contractor,Bachelor,Divorced
c2f8d4f8-a1b7-47cf-94e2-c74e9d36dd11,57,Other,Agricultural consultant,PhD,Single
ec27e394-c9b0-43a5-b9bf-475d2ccf5953,31,Female,Banker,Bachelor,Widowed
1e41b7e8-b66d-4ee5-bfa3-2cdc0cbe1220,37,Other,Metallurgist,High School,Divorced
cc95e7b6-3465-4d92-9bc3-b466de31d48c,38,Male,"Therapist, sports",Bachelor,Married
8634f487-659f-4976-bc96-594078cb1f70,27,Male,Chief Executive Officer,High School,Married
3645c1e9-38d5-4a4f-a949-1037f5e10650,23,Female,Clinical psychologist,Bachelor,Married
a0c04a2a-9971-454d-ad67-434a4dba8ffa,45,Male,Immigration officer,Master,Widowed
103ee51b-1d84-454a-ae7d-b3f81cff66ad,35,Male,Insurance broker,Bachelor,Single
58a925e6-4844-4ee3-a258-a000e044e4f0,70,Male,Dispensing optician,High School,Divorced
73d56ede-fcb5-4bad-8d63-12114e9c7e93,45,Male,"Geologist, wellsite",Bachelor,Divorced
7026c17c-8f74-4cb0-aa46-aea44b854bb4,38,Male,Marine scientist,Bachelor,Divorced
eed5f7bf-1348-4f05-bb60-de947eaabb95,51,Male,Paramedic,Master,Single
fdb2706b-d7a0-44a9-ad00-bf7a6de3a030,39,Male,Community arts worker,High School,Widowed
